"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"09/01/2024 06:00:00 - 09/01/2024 07:00:00","CTA|EE","Biomass","87.10"
"09/01/2024 07:00:00 - 09/01/2024 08:00:00","CTA|EE","Biomass","88.50"
"09/01/2024 08:00:00 - 09/01/2024 09:00:00","CTA|EE","Biomass","87.90"
"09/01/2024 09:00:00 - 09/01/2024 10:00:00","CTA|EE","Biomass","74.20"
"09/01/2024 10:00:00 - 09/01/2024 11:00:00","CTA|EE","Biomass","69.00"
"09/01/2024 11:00:00 - 09/01/2024 12:00:00","CTA|EE","Biomass","68.10"
"09/01/2024 12:00:00 - 09/01/2024 13:00:00","CTA|EE","Biomass","67.90"
"09/01/2024 13:00:00 - 09/01/2024 14:00:00","CTA|EE","Biomass","68.20"
"09/01/2024 14:00:00 - 09/01/2024 15:00:00","CTA|EE","Biomass","66.50"
"09/01/2024 15:00:00 - 09/01/2024 16:00:00","CTA|EE","Biomass","74.70"
"09/01/2024 16:00:00 - 09/01/2024 17:00:00","CTA|EE","Biomass","80.40"
"09/01/2024 17:00:00 - 09/01/2024 18:00:00","CTA|EE","Biomass","84.50"
"09/01/2024 18:00:00 - 09/01/2024 19:00:00","CTA|EE","Biomass","87.40"
"09/01/2024 19:00:00 - 09/01/2024 20:00:00","CTA|EE","Biomass","87.10"
"09/01/2024 20:00:00 - 09/01/2024 21:00:00","CTA|EE","Biomass","88.80"
"09/01/2024 21:00:00 - 09/01/2024 22:00:00","CTA|EE","Biomass","84.40"
"09/01/2024 22:00:00 - 09/01/2024 23:00:00","CTA|EE","Biomass","84.30"
"09/01/2024 23:00:00 - 10/01/2024 00:00:00","CTA|EE","Biomass","84.10"
"10/01/2024 00:00:00 - 10/01/2024 01:00:00","CTA|EE","Biomass","80.80"
"10/01/2024 01:00:00 - 10/01/2024 02:00:00","CTA|EE","Biomass","80.40"
"10/01/2024 02:00:00 - 10/01/2024 03:00:00","CTA|EE","Biomass","81.40"
"10/01/2024 03:00:00 - 10/01/2024 04:00:00","CTA|EE","Biomass","82.90"
"10/01/2024 04:00:00 - 10/01/2024 05:00:00","CTA|EE","Biomass","80.70"
"10/01/2024 05:00:00 - 10/01/2024 06:00:00","CTA|EE","Biomass","89.70"
"10/01/2024 06:00:00 - 10/01/2024 07:00:00","CTA|EE","Biomass","93.50"
"10/01/2024 07:00:00 - 10/01/2024 08:00:00","CTA|EE","Biomass","94.40"
"10/01/2024 08:00:00 - 10/01/2024 09:00:00","CTA|EE","Biomass","89.90"
"10/01/2024 09:00:00 - 10/01/2024 10:00:00","CTA|EE","Biomass","86.50"
"10/01/2024 10:00:00 - 10/01/2024 11:00:00","CTA|EE","Biomass","85.90"
"10/01/2024 11:00:00 - 10/01/2024 12:00:00","CTA|EE","Biomass","86.30"
"10/01/2024 12:00:00 - 10/01/2024 13:00:00","CTA|EE","Biomass","87.60"
"10/01/2024 13:00:00 - 10/01/2024 14:00:00","CTA|EE","Biomass","90.70"
"10/01/2024 14:00:00 - 10/01/2024 15:00:00","CTA|EE","Biomass","90.40"
"10/01/2024 15:00:00 - 10/01/2024 16:00:00","CTA|EE","Biomass","89.10"
"10/01/2024 16:00:00 - 10/01/2024 17:00:00","CTA|EE","Biomass","89.40"
"10/01/2024 17:00:00 - 10/01/2024 18:00:00","CTA|EE","Biomass","89.50"
